incident year,reported month,region of origin,region of incident,country of origin,number of dead,minimum estimated number of missing,total number of dead and missing,number of survivors,number of females,number of males,number of children,cause of death,migration route,region of origin group,country of origin group,cause of death category,extracted country,latitude,longitude,skew transformation total number of dead and missing
2014,january,central america,north america,guatemala,1,0,1.0,0,0,1,0,mixed or unknown,us-mexico border crossing,central america,guatemala,mixed or unknown,united states,31.650259,-110.366453,0.6931471805599453
2014,january,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,0,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,31.59713,-111.73756,0.6931471805599453
2014,january,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,0,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,31.94026,-113.01125,0.6931471805599453
2014,january,central america,north america,mexico,1,0,1.0,0,0,1,0,violence,us-mexico border crossing,central america,mexico,violence and related causes,united states,31.506777,-109.315632,0.6931471805599453
2014,january,northern africa,europe,sudan,1,0,1.0,2,0,1,0,"harsh environmental conditions / lack of adequate shelter, food, water",unknown,northern africa,sudan,environmental conditions and accidents,estonia,59.1551,28.0,0.6931471805599453
2014,january,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,0,0,violence,us-mexico border crossing,latin america / caribbean,mixed/unknown,violence and related causes,united states,32.45435,-113.18402,0.6931471805599453
2014,january,unknown,mediterranean,"afghanistan,syrian arab republic",12,0,12.0,0,9,0,3,drowning,eastern mediterranean,unknown,mixed/unknown,drowning and related causes,greece,37.2832,27.0,2.5649493574615367
2014,january,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,0,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,32.478317,-113.182833,0.6931471805599453
2014,january,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,0,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,31.81154,-111.01101,0.6931471805599453
2014,january,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,0,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,32.174017,-112.174583,0.6931471805599453
2014,january,central america,north america,mexico,1,0,1.0,0,0,1,0,mixed or unknown,us-mexico border crossing,central america,mexico,mixed or unknown,united states,32.40291,-113.02935,0.6931471805599453
2014,january,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,0,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,32.159,-112.919,0.6931471805599453
2014,january,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,0,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,32.481483,-111.654933,0.6931471805599453
2014,january,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,0,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,32.481683,-111.654933,0.6931471805599453
2014,january,southern asia,europe,iran (islamic republic of),1,0,1.0,2,0,1,1,vehicle accident / death linked to hazardous transport,english channel to the uk,southern asia,iran (islamic republic of),environmental conditions and accidents,france,50.9355,2.0,0.6931471805599453
2014,january,caribbean,caribbean,haiti,1,0,1.0,0,0,1,1,drowning,caribbean to us,caribbean,haiti,drowning and related causes,united states,26.116,-80.0,0.6931471805599453
2014,february,south-eastern asia,south-eastern asia,myanmar,5,0,5.0,500,0,5,0,sickness / lack of access to adequate healthcare,unknown,southern asia,myanmar,health-related causes,inconclusive location,7.0167471,100.4674982,1.791759469228055
2014,february,unknown,mediterranean,"cameroon,unknown",15,0,15.0,0,0,1,0,violence,western mediterranean,unknown,mixed/unknown,violence and related causes,inconclusive location,35.8793,-5.0,2.772588722239781
2014,february,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,0,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,31.8054,-111.854867,0.6931471805599453
2014,february,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,0,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,31.992833,-111.385833,0.6931471805599453
2014,february,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,0,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,32.17305,-112.20211,0.6931471805599453
2014,february,eastern africa,mediterranean,somalia,2,0,2.0,121,0,2,0,mixed or unknown,central mediterranean,eastern africa,somalia,mixed or unknown,italy,34.5645,16.0,1.0986122886681096
2014,february,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,0,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,32.00768,-112.1726,0.6931471805599453
2014,february,central america,north america,mexico,1,0,1.0,2,0,1,0,violence,us-mexico border crossing,central america,mexico,violence and related causes,united states,32.5543,-117.0,0.6931471805599453
2014,february,caribbean,caribbean,haiti,8,0,8.0,0,0,0,0,drowning,haiti to dominican republic,caribbean,haiti,drowning and related causes,dominica,18.4505,-68.0,2.1972245773362196
2014,february,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,1,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,31.82214,-111.96383,0.6931471805599453
2014,february,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,0,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,32.08795,-112.58407,0.6931471805599453
2014,february,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,0,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,32.0885,-112.44956,0.6931471805599453
2014,february,southern asia,southern asia,bangladesh,1,0,1.0,0,0,1,0,violence,unknown,southern asia,bangladesh,violence and related causes,india,25.1841,89.0,0.6931471805599453
2014,february,eastern africa,eastern africa,ethiopia,11,6,17.0,0,0,0,0,drowning,horn of africa to yemen crossing,eastern africa,ethiopia,drowning and related causes,djibouti,20.2802,39.0,2.8903717578961645
2014,february,eastern africa,mediterranean,somalia,7,0,7.0,0,0,0,0,violence,central mediterranean,eastern africa,somalia,violence and related causes,libya,33.1597,15.0,2.0794415416798357
2014,march,central america,north america,guatemala,1,0,1.0,0,1,0,0,"harsh environmental conditions / lack of adequate shelter, food, water",us-mexico border crossing,central america,guatemala,environmental conditions and accidents,united states,31.759,-110.51916,0.6931471805599453
2014,march,europe,europe,albania,1,0,1.0,0,0,1,0,violence,english channel to the uk,europe,albania,violence and related causes,france,50.9365,2.0,0.6931471805599453
2014,march,southern asia,south-eastern asia,cambodia,5,0,5.0,4,2,3,0,vehicle accident / death linked to hazardous transport,unknown,southern asia,cambodia,environmental conditions and accidents,thailand,13.2353642,101.0,1.791759469228055
2014,march,southern asia,south-eastern asia,myanmar,2,0,2.0,10,0,2,0,vehicle accident / death linked to hazardous transport,unknown,southern asia,myanmar,environmental conditions and accidents,thailand,9.96833,99.0,1.0986122886681096
2014,march,south america,central america,ecuador,1,0,1.0,0,1,0,1,violence,us-mexico border crossing,south america,ecuador,violence and related causes,mexico,31.6904,-106.425,0.6931471805599453
2014,march,eastern africa,eastern africa,"ethiopia,somalia",1,43,44.0,33,1,0,3,drowning,horn of africa to yemen crossing,eastern africa,mixed/unknown,drowning and related causes,inconclusive location,12.5331,48.0,3.8066624897703196
2014,march,eastern africa,europe,ethiopia,1,0,1.0,0,0,1,0,vehicle accident / death linked to hazardous transport,english channel to the uk,eastern africa,ethiopia,environmental conditions and accidents,france,50.9686,2.0,0.6931471805599453
2014,march,central america,north america,el salvador,1,0,1.0,0,0,0,0,mixed or unknown,us-mexico border crossing,central america,el salvador,mixed or unknown,united states,26.81120278,-97.74819915,0.6931471805599453
2014,march,eastern africa,europe,ethiopia,1,0,1.0,0,0,1,0,mixed or unknown,english channel to the uk,eastern africa,ethiopia,mixed or unknown,france,50.950273,2.0,0.6931471805599453
2014,march,eastern africa,europe,ethiopia,1,0,1.0,2,0,1,0,vehicle accident / death linked to hazardous transport,english channel to the uk,eastern africa,ethiopia,environmental conditions and accidents,france,50.9688,2.0,0.6931471805599453
2014,march,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,0,0,"harsh environmental conditions / lack of adequate shelter, food, water",us-mexico border crossing,latin america / caribbean,mixed/unknown,environmental conditions and accidents,united states,31.789033,-112.114583,0.6931471805599453
2014,march,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,0,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,32.1386,-112.326,0.6931471805599453
2014,march,unknown,mediterranean,unknown,1,0,1.0,0,0,0,0,vehicle accident / death linked to hazardous transport,central mediterranean,unknown,mixed/unknown,environmental conditions and accidents,inconclusive location,34.9797,13.0,0.6931471805599453
